Person_ID,Entry_Timestamp_Video,Exit_Timestamp_Video
1,6092,15379
2,6098,14813
3,6104,14517
4,6105,3721
5,6106,15258
6,6107,4336
7,6108,15349
8,6109,15351
9,6110,4336
10,6111,4336
11,6112,4336
12,6113,15907
13,6114,3494
14,6115,15708
15,6116,12914
16,6117,8833
17,6118,12914
18,6120,15708
19,6121,3493
20,6122,3493
21,6123,3493
22,6124,3661
23,6125,8833
24,6126,8833
25,6127,3551
26,6128,8833
27,6129,8833
28,6130,8833
29,6131,3551
30,6132,3551
31,6133,8833
32,6134,8833
33,6135,3707
34,6135,9964
35,6136,3538
36,6136,9964
37,6137,9964
38,6137,3707
39,6138,9964
40,6138,12912
41,6139,14517
42,6139,3707
43,6140,10735
44,6143,3576
45,6143,8728
46,6144,3339
47,6144,8728
48,6146,3551
49,6149,8865
50,6150,3554
51,6151,3538
52,6152,3551
53,6153,3494
54,6154,15708
55,6154,4372
56,6155,3538
57,6156,6846
58,6157,3551
59,6158,14767
60,6159,3551
61,6160,3551
62,6161,6846
63,6162,6846
64,6163,6846
65,6164,16049
66,6164,3228
67,6165,8833
68,6166,6846
69,6167,8833
70,6168,12914
71,6169,6846
72,6170,6846
73,6171,6846
74,6172,3245
75,6173,3470
76,6174,3470
77,6175,3470
78,6176,6846
79,6177,6846
80,6178,6846
81,6179,3470
82,6180,8854
83,6181,8854
84,6182,8854
85,6183,6846
86,6184,8854
87,6185,8833
88,6187,3717
89,6189,3717
90,6190,3717
91,6191,3717
92,6192,3382
93,6193,3717
94,6194,4707
95,6194,3696
96,6195,6846
97,6196,3717
98,6197,3717
99,6197,5340
100,6198,6846
101,6199,3470
102,6203,3470
103,6204,3382
104,6205,3382
105,6206,3382
106,6207,3470
107,6208,8728
108,6209,3285
109,6210,12913
110,6211,10712
111,6212,12912
112,6213,12913
113,6214,12912
114,6215,3717
115,6216,12912
116,6217,3717
117,6218,10712
118,6219,12912
119,6220,12912
120,6221,10712
121,6222,10712
122,6223,12912
123,6224,12912
124,6225,10712
125,6226,6846
126,6227,6846
127,6228,6846
128,6229,6846
129,6230,6846
130,6231,6846
131,6232,10712
132,6233,6846
133,6234,10712
134,6235,6846
135,6236,6846
136,6237,6846
137,6238,6846
138,6239,12914
139,6240,10712
140,6241,10712
141,6242,10712
142,6243,12913
143,6244,3717
144,6245,12912
145,6246,12913
146,6247,12913
147,6248,12913
148,6251,3470
149,6252,10712
150,6253,3245
151,6254,12914
152,6255,9927
153,6255,3721
154,6256,9964
155,6256,5368
156,6257,9964
157,6257,5368
158,6258,9927
159,6258,5368
160,6259,12958
161,6260,4954
162,6260,3576
163,6261,10709
164,6261,12958
165,6262,12958
166,6262,12914
167,6263,12958
168,6263,12914
169,6264,12958
170,6264,12914
171,6265,12958
172,6265,5368
173,6266,12958
174,6266,12914
175,6267,15433
176,6267,12914
177,6268,3576
178,6268,5368
179,6269,12958
180,6269,8896
181,6270,12958
182,6270,8896
183,6271,12958
184,6271,4343
185,6272,12958
186,6272,5367
187,6273,12958
188,6273,12902
189,6274,12958
190,6274,12902
191,6275,12958
192,6275,14814
193,6276,12958
194,6276,12900
195,6277,12958
196,6277,12904
197,6278,12958
198,6278,12901
199,6279,12901
200,6279,12914
201,6280,12958
202,6280,12901
203,6281,12958
204,6281,5775
205,6282,12958
206,6283,12958
207,6284,12958
208,6285,12958
209,6286,12958
210,6287,12958
211,6287,15252
212,6287,11126
213,6288,12958
214,6288,15252
215,6289,12958
